Player Tag,ID,Level,Arena,Total Exp Points,Trophies,Max Trophies,Donations,Donations Received,Total Donations,Donation Ratio,Role,Clan Cards Collected,Total Games,Wins,Win Rate,Losses,Loss Rate
#JCU2QL8Q8,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#VJQJLL,baruki,10,Arena 12,24143,3901,4261,0,0,3596,2.228004956629492,,1120,1614,633,0.39,604,0.37
#8PR0JL,"Jhonny""creziio",44,Arena 16,255837,5859,5920,0,0,84264,4.466684336072091,elder,180729,18865,7099,0.38,7124,0.38
#JYRQJ2Q,dlatmdgus1008,8,Arena 8,0,2419,2419,0,0,604,0.7242206235011991,member,0,834,318,0.38,162,0.19
#U0J980,Gutta,45,Arena 17,287367,6432,6432,0,0,73834,4.190114068441065,elder,6665,17621,5077,0.29,5148,0.29
#Y29802,cukineitor,39,Arena 17,140041,6211,6295,0,0,17398,1.176494454963484,member,26685,14788,3887,0.26,3949,0.27
#JVP0RJCQP,ingrid,9,Arena 9,0,2663,2723,0,0,291,0.37548387096774194,,0,775,450,0.58,324,0.42
#2R2CQU,Fabian,10,Arena 11,0,3707,3800,0,0,14329,6.771739130434782,,6971,2116,870,0.41,799,0.38
#U8YCQVY,reD.,11,Arena 15,57373,5197,5304,0,0,17900,3.591492776886035,,0,4984,2171,0.44,2052,0.41
#R2PLCV8UR,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#QJUQUJ8,sandrin,40,Arena 17,172996,6202,6202,0,0,54471,3.820649505506067,leader,38310,14257,5160,0.36,4249,0.3
#LR9UQU0,wake up and run,8,Arena 6,0,1809,2026,0,0,1307,1.2927794263105836,member,0,1011,336,0.33,361,0.36
#U98CU,pietro,42,Arena 19,216079,7278,7278,184,136,76157,10.91543643399742,member,17088,6977,3226,0.46,2610,0.37
#QY9VUPUUL,VGIA_paK0,1,Arena 1,0,0,0,0,0,0,0.0,,0,1,0,0.0,1,1.0
#CRLPR,Yeeyee,8,Arena 5,0,1459,1459,0,0,1173,2.3601609657947686,,0,497,239,0.48,233,0.47
#L9U9Q9922,paco,8,Arena 9,0,2862,2969,0,0,111,0.25813953488372093,,0,430,156,0.36,273,0.63
#QLQJV9VUJ,The king,7,Arena 8,0,2300,2316,0,0,54,0.3333333333333333,,0,162,89,0.55,72,0.44
#QYLL80CLQ,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#80800QC,UMUT,23,Arena 7,11260,2118,2208,0,0,230,0.318118948824343,leader,0,723,324,0.45,349,0.48
#9QQJR2L99,Priya,3,Arena 1,0,241,241,0,0,0,0.0,,0,8,8,1.0,0,0.0
#QP8YP,sasko,41,Arena 18,190614,6825,6855,0,0,65306,6.859153450267829,member,229767,9521,2703,0.28,2074,0.22
#LPC8UJQYR,edson,10,Arena 11,0,3466,3569,0,0,285,0.3931034482758621,,0,725,439,0.61,285,0.39
#Q9RP8L2C2,gigi,7,Arena 7,0,2000,2005,0,0,60,0.2830188679245283,,0,212,99,0.47,112,0.53
#9QCQQ,Keagan_147,7,Arena 4,0,1313,1396,0,0,606,1.911671924290221,,0,317,155,0.49,160,0.5
#RJJR22UV2,Dylan the great,33,Arena 15,67983,5091,5091,0,0,1170,0.6822157434402333,coLeader,0,1715,621,0.36,788,0.46
#C0C08CLCL,امیر حسین,3,Arena 1,73,90,90,0,0,0,0.0,member,0,19,3,0.16,0,0.0
#PPQUVYQ92,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#Y2890R,Capilla,35,Arena 15,87141,5191,5383,0,0,25219,3.8478791577662497,,28945,6554,1488,0.23,1379,0.21
#R228YQRQU,lele,8,Arena 10,0,3249,3249,0,0,93,0.26956521739130435,,0,345,136,0.39,208,0.6
#P8LYJ289,koltai98,38,Arena 15,123824,5305,5611,0,0,12493,0.9239701205532135,member,34596,13521,5954,0.44,5888,0.44
#LQLP9VV90,Durrani,2,Arena 1,0,29,30,0,0,0,0.0,,0,4,1,0.25,3,0.75
#RJURYC8JP,zero,6,Arena 4,0,1000,1144,0,0,33,0.2129032258064516,,0,155,41,0.26,113,0.73
#99Y2J08Q,рамис2003,41,Arena 16,182011,5739,5766,0,0,7444,1.179340937896071,member,44510,6312,1680,0.27,1231,0.2
#Y0J2Q,ぎょ,10,Arena 9,0,2978,3012,0,0,3459,2.7086922474549726,elder,0,1277,612,0.48,505,0.4
#U92R2VQVR,Sarah,6,Arena 4,0,1032,1042,0,0,54,0.2647058823529412,,0,204,85,0.42,118,0.58
#P0PVV,FONGPOK21,12,Arena 16,96994,5432,5599,0,0,43369,8.193651993198564,,82336,5293,2445,0.46,2321,0.44
#9P89RY8Y8,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#L9ULCQ8,Maks_09,7,Arena 5,0,1677,1735,0,0,710,1.988795518207283,,0,357,151,0.42,99,0.28
#RLLPLL2J8,부캐,2,Arena 1,0,106,111,0,0,0,0.0,member,0,5,4,0.8,1,0.2
#L2JP2UV02,destructor,9,Arena 9,0,2600,2655,0,0,156,0.3107569721115538,,0,502,230,0.46,271,0.54
#LCV08LQR9,renato,8,Arena 9,0,2600,2618,0,0,93,0.40611353711790393,,0,229,149,0.65,79,0.34
#LPCJCC8JL,valentina,8,Arena 11,6607,3434,3788,0,0,394,1.2236024844720497,,0,322,203,0.63,113,0.35
#CRCRC09P,정상수의마지막머리카락,37,Arena 16,112869,5659,5794,0,0,31166,4.642633695814092,leader,12579,6713,2827,0.42,2878,0.43
#YV9JCQYCP,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#8UQPRP,abo Gharib,42,Arena 19,220117,7144,7438,38,0,134091,5.184064022268615,coLeader,139637,25866,11527,0.45,10920,0.42
#80V82JU,JAPA,29,Arena 12,35148,4040,4096,0,0,530,0.1706374758531874,leader,0,3106,527,0.17,456,0.15
#LRLJP,miu miu,10,Arena 3,848,787,802,0,0,84,0.46408839779005523,member,0,181,79,0.44,97,0.54
#PU2PRVP,Pacioz97,10,Arena 13,29221,4208,4381,0,0,9705,4.715743440233236,,240,2058,919,0.45,893,0.43
#99LQL0Q9Y,pi,1,Arena 1,0,0,0,0,0,0,0.0,,0,5,0,0.0,1,0.2
#L9R09P,aleefachina,34,Arena 15,80630,5348,5370,0,0,34730,6.291666666666667,,24515,5520,2230,0.4,1942,0.35
#JU0UR0,RIDER,8,Arena 8,0,2314,2425,0,0,1334,1.395397489539749,member,0,956,371,0.39,297,0.31
#CCCUVRR89,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#2JRCCY,Pat,43,Arena 16,233625,5599,5657,0,0,53258,5.41349867859321,,96720,9838,3525,0.36,3100,0.32
#PLQ88U0VC,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#CVU0UJVV0,matrix,4,Arena 2,0,479,526,0,0,9,0.14516129032258066,,0,62,23,0.37,38,0.61
#QUJY8,OGJoKeSTeR,22,Arena 7,9340,2216,2245,0,0,1699,2.2267365661861076,,0,763,369,0.48,329,0.43
#Q80Q8JQ9J,майор,9,Arena 10,11102,3161,3161,0,0,24,0.060453400503778336,leader,0,397,233,0.59,137,0.35
#C0U9QR22,DIEGO,10,Arena 15,27793,5104,5262,0,0,1366,0.400234397890419,member,13980,3413,1333,0.39,1294,0.38
#L2P08,JOÃOCOBRA,6,Arena 5,1068,1300,1356,0,0,79,0.8144329896907216,leader,0,97,61,0.63,32,0.33
#LR2Q8URC2,Tobias,10,Arena 11,0,3300,3343,0,0,318,0.3706293706293706,,0,858,473,0.55,384,0.45
#PU28298QR,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#RYLL9PQQ9,Joan,3,Arena 2,0,360,375,0,0,2,0.07142857142857142,member,0,28,16,0.57,10,0.36
#QPJL8PP9V,dario,4,Arena 2,0,437,533,0,0,6,0.13953488372093023,,0,43,23,0.53,19,0.44
#RL8CJP2CL,Razvan,7,Arena 6,0,1741,1831,0,0,81,0.30111524163568776,,0,269,111,0.41,157,0.58
#Q9PJVYP,maarquueez7,34,Arena 16,85038,5804,5804,0,0,17340,4.8639551192145865,member,25396,3565,1437,0.4,1535,0.43
#C09908,ucup,37,Arena 15,112603,5311,5622,0,0,60114,6.3518596787827555,,168489,9464,2376,0.25,1948,0.21
#L29982YC0,yaya,10,Arena 11,0,3466,3563,0,0,246,0.3929712460063898,,0,626,384,0.61,241,0.38
#UQU99L0RL,ゆっきい,5,Arena 2,676,456,468,0,0,0,0.0,,0,42,22,0.52,19,0.45
#R02VYPYQ9,Adriana,7,Arena 6,0,1644,1705,0,0,48,0.3310344827586207,,0,145,81,0.56,63,0.43
#Y0R9YYU,GabeyBabey,47,Arena 21,329687,8171,8262,0,0,42969,7.1317842323651455,,5880,6025,3156,0.52,2219,0.37
#RQRRQ,BYEEDEN,8,Arena 6,0,1954,2019,0,0,1977,4.534403669724771,,0,436,170,0.39,155,0.36
#Y82YUPP,11v44nn,9,Arena 12,16191,3993,4076,0,0,1010,0.4955839057899902,,0,2038,1015,0.5,977,0.48
#Y9LVY288V,vijay,10,Arena 11,0,3300,3329,0,0,804,0.34096692111959287,,0,2358,1191,0.51,1166,0.49
#LLJ0LU,יובל,29,Arena 14,32905,4662,4662,0,0,1118,0.2878475798146241,member,10303,3884,1284,0.33,1343,0.35
#J9JC09JCJ,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#CY9YUPJ90,Fer,8,Arena 9,0,2640,2769,0,0,180,0.31141868512110726,,0,578,286,0.49,291,0.5
#9LC9RRCP0,Член228,2,Arena 1,0,59,60,0,0,0,0.0,member,0,5,2,0.4,1,0.2
#99RRRLCYP,herobrine,1,Arena 1,0,0,0,0,0,0,0.0,,0,4,0,0.0,1,0.25
#C2U0J02,XxDracknerxX,21,Arena 8,7195,2399,2516,0,0,0,0.0,,0,411,198,0.48,199,0.48
#YUV92LV8,재훈,10,Arena 10,0,3349,3544,0,0,17919,7.9217506631299734,,3250,2262,898,0.4,897,0.4
#RVCQL99,MLGJJ,9,Arena 9,0,2894,2951,0,0,7027,7.507478632478633,,0,936,444,0.47,353,0.38
#89QLR,Anikin,8,Arena 7,0,1969,2116,0,0,1535,1.1541353383458646,member,0,1330,605,0.45,629,0.47
